games,country,alpha_3,ioc_code,host,year,gold,silver,bronze,total,summer,pop_0,pop_4,pop_8,pop_12,pop_16,pop_20,pop_24,pop_28,pop_32,pop_36,pop_40,gdppc_0,gdppc_4,gdppc_8,gdppc_12,gdppc_16,gdppc_20,gdppc_24,gdppc_28,gdppc_32,gdppc_36,gdppc_40,host_n4,host_0,host_p4,host_p8,host_p12,games_gold,games_silver,games_bronze,games_medals,n_teams,medals_per_team,past_tot_1,past_tot_2,past_tot_3,past_tot_4,past_tot_5
St. Louis 1904,Greece,GRC,GRE,0,1904,1,0,1,2,1,5102.0,4962.0,4764.0,4574.0,4392.0,4217.0,4049.0,3887.0,3732.0,3591.0,3461.0,2498.0,1972.0,2359.0,2053.0,2566.0,2351.0,2028.0,1921.0,1806.0,2020.0,1854.0,0,0,0,1,0,97,96,93,286,13,22.0,0.0,47.0,,,
St. Louis 1904,Hungary,HUN,HUN,0,1904,2,1,1,4,1,7333.8,7127.0,6925.0,6723.0,6551.5,6410.5,6269.5,6128.5,5987.5,5841.4,5690.2,2883.8,2681.0,2547.8,2414.6,2287.3,2165.9,2044.5,1923.1,1801.7,,,0,0,0,0,0,97,96,93,286,13,22.0,5.0,6.0,,,
St. Louis 1904,South Africa,ZAF,RSA,0,1904,0,0,0,0,1,5398.2558139534885,5062.813953488372,4727.372093023256,4391.930232558139,4056.4883720930234,3721.046511627907,3385.604651162791,3050.1627906976746,2714.720930232558,2507.12,2427.36,2571.0,1494.0,2153.0,1860.0,1836.0,1430.0,2294.0,1946.0,1902.0,1226.0,1339.0,0,0,0,0,0,97,96,93,286,13,22.0,,,,,
St. Louis 1904,Switzerland,CHE,SUI,0,1904,1,0,2,3,1,3472.0,3300.0,3151.0,3002.0,2929.0,2885.0,2839.0,2768.0,2697.0,2623.0,2566.0,6879.57,6611.78,5967.25,5270.19,5118.9,4542.09,3869.37,3851.91,3140.49,3053.11,2807.79,0,0,0,0,0,97,96,93,286,13,22.0,9.0,3.0,,,
St. Louis 1904,United States of America,USA,USA,1,1904,78,82,79,239,1,82485.0,76391.0,71161.0,65922.0,60732.0,55595.0,50458.0,46287.0,42136.0,38546.0,35192.0,8663.66,8037.57,6885.67,7324.06,6447.28,6523.13,6255.73,5049.84,4991.98,4815.86,4889.14,0,1,0,0,0,97,96,93,286,13,22.0,48.0,20.0,,,
St. Louis 1904,MIX,,ZZX,0,1904,2,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,97,96,93,286,13,22.0,19.0,2.0,,,
London 1908,Argentina,ARG,ARG,0,1908,0,0,0,0,1,6341.0,5455.0,4693.0,4166.2,3639.4,3218.0,2902.0,2586.0,2270.0,1954.0,1726.4,5829.0,5086.0,4583.0,5716.0,4251.0,4219.0,3486.0,2557.0,2611.0,2446.4,2304.0,0,0,0,0,0,110,107,107,324,22,14.727272727272727,,0.0,,,
London 1908,Australasia,,ANZ,0,1908,1,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,110,107,107,324,22,14.727272727272727,,,,,
London 1908,Austria,AUT,AUT,0,1908,0,0,1,1,1,6485.0,6228.0,5973.0,5739.0,5504.0,5303.0,5121.0,4941.0,4772.0,4604.0,4469.0,5292.0,4712.0,4594.0,4305.0,4041.0,3792.0,3583.0,3314.0,3188.0,3150.0,2942.8,0,0,0,0,0,110,107,107,324,22,14.727272727272727,3.0,6.0,5.0,,
London 1908,Belgium,BEL,BEL,0,1908,1,5,2,8,1,7411.0,7086.0,6719.0,6494.0,6231.0,6007.0,5807.0,5541.0,5345.0,5178.0,5023.0,6269.0,6091.0,5947.0,5660.0,5486.0,5176.0,4999.0,4886.0,4583.0,4501.0,4095.0,0,0,0,0,0,110,107,107,324,22,14.727272727272727,,17.0,,,
